enrollment_slot_id,enrollment_id,student_code,day_of_week,slot_no,subject,teacher_code,subject_id
1,,S0062,5,6,"数学",T0006,
2,,S0018,5,6,"数学",T0006,
3,,S0101,1,4,"社会",T0005,
4,,S0113,1,5,"英語",T0005,
5,,S0130,1,6,"日本史",T0005,
6,,S0052,3,3,"算数",T0005,
7,,S0082,3,4,"英語",T0005,
8,,S0053,3,4,"英語",T0005,
9,,S0122,3,5,"英語",T0005,
10,,S0117,3,5,"英語",T0005,
11,,S0106,3,6,"英語",T0005,
12,,S0116,3,6,"英語",T0005,
13,,S0068,1,4,"社会",T0005,
14,,S0033,1,6,"英語",T0005,
15,,S0088,1,4,"算数",T0013,
16,,S0023,1,4,"国語",T0013,
17,,S0032,1,5,"数学",T0013,
18,,S0013,1,6,"国語",T0013,
19,,S0036,1,6,"数学",T0013,
20,,S0103,2,6,"英語",T0013,
21,,S0024,2,6,"英語",T0013,
22,,S0058,2,7,"数学",T0013,
23,,S0092,6,2,"算数",T0013,
24,,S0089,6,3,"算数",T0013,
25,,S0128,3,5,"国語",T0023,
26,,S0101,4,4,"国語",T0010,
27,,S0011,4,4,"国語",T0010,
28,,S0044,2,4,"国語",T0010,
29,,S0036,4,6,"国語",T0010,
30,,S0025,4,5,"英語",T0010,
31,,S0123,2,6,"英語",T0010,
32,,S0070,4,6,"英語",T0010,
33,,S0027,4,5,"英語",T0010,
34,,S0108,5,6,"数学",T0018,
35,,S0109,5,6,"数学",T0018,
36,,S0085,5,4,"数学",T0018,
37,,S0072,5,4,"算数",T0018,
38,,S0093,1,4,"算数",T0019,
39,,S0059,1,4,"算数",T0019,
40,,S0017,1,6,"英語",T0019,
41,,S0041,2,4,"英語",T0019,
42,,S0021,2,5,"英語",T0019,
43,,S0113,2,5,"英語",T0019,
44,,S0026,2,6,"数学",T0019,
45,,S0128,5,6,"数学",T0019,
46,,S0029,4,6,"数学",T0009,
47,,S0075,3,5,"英語",T0021,
48,,S0015,3,6,"英語",T0021,
49,,S0094,1,5,"英語",T0003,
50,,S0043,1,5,"数学",T0003,
51,,S0070,1,6,"数学",T0003,
52,,S0109,1,6,"英語",T0003,
53,,S0056,2,5,"数学",T0003,
54,,S0040,2,7,"英語",T0003,
55,,S0103,3,6,"数学",T0003,
56,,S0130,4,6,"英語",T0003,
57,,S0067,5,7,"数学",T0003,
58,,S0071,6,5,"理科",T0003,
59,,S0050,6,6,"英語",T0003,
60,,S0112,2,5,"数学",T0015,
61,,S0096,2,4,"算数",T0015,
62,,S0049,6,1,"数学",T0015,
63,,S0068,6,1,"理科",T0015,
64,,S0084,6,2,"英語",T0015,
65,,S0091,2,5,"数学",T0011,
66,,S0062,2,6,"英語",T0011,
67,,S0023,4,4,"算数",T0034,
68,,S0069,4,4,"算数",T0034,
69,,S0090,3,3,"算数",T0025,
70,,S0020,3,3,"数学",T0025,
71,,S0074,3,4,"数学",T0025,
72,,S0077,3,4,"数学",T0025,
73,,S0121,3,5,"数学",T0025,
74,,S0125,3,6,"数学",T0025,
75,,S0066,3,6,"数学",T0025,
76,,S0054,3,7,"数学",T0025,
77,,S0095,3,7,"英語",T0025,
78,,S0053,5,4,"数学",T0025,
79,,S0086,5,4,"数学",T0025,
80,,S0106,5,5,"数学",T0025,
81,,S0113,5,5,"数学",T0025,
82,,S0082,5,6,"数学",T0025,
83,,S0071,5,6,"数学",T0025,
84,,S0105,1,4,"算数",T0034,
85,,S0127,2,3,"算数",T0034,
86,,S0079,2,4,"算数",T0034,
87,,S0080,2,4,"算数",T0034,
88,,S0102,2,5,"数学",T0034,
89,,S0124,4,4,"算数",T0034,
90,,S0108,2,6,"国語",T0017,
91,,S0072,1,4,"理科",T0026,
92,,S0098,2,3,"算数",T0026,
93,,S0065,2,4,"数学",T0026,
94,,S0101,2,4,"算数",T0026,
95,,S0025,2,5,"数学",T0026,
96,,S0084,2,6,"数学",T0026,
97,,S0013,2,6,"数学",T0026,
98,,S0079,4,4,"国語",T0026,
99,,S0080,4,4,"国語",T0026,
100,,S0120,4,5,"理科",T0026,
101,,S0059,5,4,"英語",T0026,
102,,S0102,5,5,"英語",T0026,
103,,S0027,5,6,"数学",T0026,
104,,S0078,1,5,"英語",T0032,
105,,S0086,1,5,"英語",T0032,
106,,S0114,4,3,"数学",T0031,
107,,S0044,4,4,"算数",T0031,
108,,S0056,4,5,"英語",T0031,
109,,S0019,4,5,"数学",T0031,
110,,S0038,4,6,"数学",T0031,
111,,S0013,4,6,"英語",T0031,
112,,S0115,4,7,"数学",T0031,
113,,S0118,3,3,"算数",T0021,
114,,S0061,2,6,"数学",T0016,
115,,S0014,3,6,"数学",T0016,
116,,S0012,3,6,"理科",T0016,
117,,S0037,3,7,"英語",T0016,
